name,category,description
Illegal Activity,Illegal activity,"- OpenAI prohibits the use of our models, tools, and services for illegal activity.
"
CSAM,Child Sexual Abuse Material or any content that exploits or harms children,"- We report CSAM to the National Center for Missing and Exploited Children.
"
Hate Speech,"Generation of hateful, harassing, or violent content","- Content that expresses, incites, or promotes hate based on identity
- Content that intends to harass, threaten, or bully an individual
- Content that promotes or glorifies violence or celebrates the suffering or humiliation of others
"
Malware,Generation of malware,"- Content that attempts to generate code that is designed to disrupt, damage, or gain unauthorized access to a computer system.
"
Physical Harm,Activity that has high risk of physical harm,"- Weapons development
- Military and warfare
- Management or operation of critical infrastructure in energy, transportation, and water
- Content that promotes, encourages, or depicts acts of self-harm, such as suicide, cutting, and eating disorders
"
Economic Harm,Activity that has high risk of economic harm,"- Multi-level marketing
- Gambling
- Payday lending
- Automated determinations of eligibility for credit, employment, educational institutions, or public assistance services
"
Fraud,Fraudulent or deceptive activity,"- Scams
- Coordinated inauthentic behavior
- Plagiarism
- Academic dishonesty
- Astroturfing, such as fake grassroots support or fake review generation
- Disinformation
- Spam
- Pseudo-pharmaceuticals
"
Pornography,"Adult content, adult industries, and dating apps","- Content meant to arouse sexual excitement, such as the description of sexual activity, or that promotes sexual services (excluding sex education and wellness)
- Erotic chat
- Pornography
"
Political Lobbying,Political campaigning or lobbying,"- Generating high volumes of campaign materials
- Generating campaign materials personalized to or targeted at specific demographics
- Building conversational or interactive systems such as chatbots that provide information about campaigns or engage in political advocacy or lobbying
- Building products for political campaigning or lobbying purposes
"
Privacy Violence,Activity that violates people’s privacy,"- Tracking or monitoring an individual without their consent
- Facial recognition of private individuals
- Classifying individuals based on protected characteristics
- Using biometrics for identification or assessment
- Unlawful collection or disclosure of personal identifiable information or educational, financial, or other protected records
"
Legal Opinion,"Engaging in the unauthorized practice of law, or offering tailored legal advice without a qualified person reviewing the information","- OpenAI’s models are not fine-tuned to provide legal advice. You should not rely on our models as a sole source of legal advice.
"
Financial Advice,Offering tailored financial advice without a qualified person reviewing the information,"- OpenAI’s models are not fine-tuned to provide financial advice. You should not rely on our models as a sole source of financial advice.
"
Health Consultation,"Telling someone that they have or do not have a certain health condition, or providing instructions on how to cure or treat a health condition","- OpenAI’s models are not fine-tuned to provide medical information. You should never use our models to provide diagnostic or treatment services for serious medical conditions.
- OpenAI’s platforms should not be used to triage or manage life-threatening issues that need immediate attention.
"
Gov Decision,High risk government decision-making,"- Law enforcement and criminal justice
- Migration and asylum
"
